
         the official results from fallingbostel, germany


            M E K K A   &   S Y M P O S I U M   2 0 0 0


                       - expect nothing -



Wild

36  11   droga (the way)                        m.s.druid & hakon/whelpz
37  11   64 Net Poetic                          Mircea Dragoi
38  10   Skajtaar (MAR)                         Farfar / Conies
39  10   No beer at Minas Morgul                Headhunter
40  9    Hmm, lecker Astra                      Losso
41  9    Yllys Yndlingslegetøj               Svend-Baenu
42  8    Better kill all those lamers           Tomic of Unik
43  8    insane silhouette                      ir / greenroom
44  8    amiga rulez                            kritix
45  7    Osram, der Oszillator                  JCO
46  7    Ich bin Bobin - bist Du meine Mutter?  Demon / Unction
47  7    Chopin                                 Ural / Suspend
48  6    Quote aehm neee votes durch ...        [cori] of DAL
49  6    Peter Plys 2000                        Moniq/Cromatics
50  4    SleeperHalle                           Trifox
51  3    The Twisted Original                   NC Biermeister
52  3    775-ilsakualand mode                   oopure & azzaro/madwizards
53  3    amoebing                               Ratze
54  3    Eggman                                 Shaolin T
55  3    Tap.Fire                               Tomaes^TAP
56  2    Mushroom (Pixel)                       CSA
57  2    In Love                                Graffito
58  1    Cinderalva (after Trashparty)          alv / squirrelz
59  1    Easter in Germany (after all)          Leia / Apathy + Squirrelz
60  1    How to Communicate?                    Nagz / Greenroom
61  0    MadMan's interpretation of matrix      MadMan/real.fake
62  0    My Life                                Noda Raccoon alias Dizzy Devil
63  0    Portrait von Anja                      LupGrafix



PC Demo

01  349  Sleepless                              Smash Designs
02  248  Mikro Strange                          Acryl & Hellfire of Haujobb
03  230  Nature suxx                            Federation against nature
04  220  Strange Feelings                       Haujobb
05  60   Vigorm                                 TPDB
06  47   Ernte 23                               bbu + misc.
07  46   954                                    ainc.
08  43   Tavor                                  Noize and Kiritix of Kolor
09  36   DisIsSid #4                            Abyss
10  32   96                                     Damage
11  30   Noir                                   Squo Quo
12  25   System Apoc                            Astral
13  23   Gothic                                 Wt
14  18   Mazed!                                 Xibalba & Friends
15  16   Robospack auf dem Boden der Tatsachen  JCO
16  14   Happy Birthday Jennie                  Quasars
17  13   Beying by Confine                      Confine
18  12   Vanillebaum                            Xsolution
19  11   Planet Alpheon                         Fadeout
20  9    First Trip                             F4'z
21  7    Dark Hour                              Sista Vip
22  5    Fuzzy!                                 RMM
23  5    Miracle Seasons                        Sista Vip



PC 64K Intro

1  452  Heaven Seven                       Exceed
2  90   Matrix / a D D I C t               Mx Traymuss Def
3  87   some bookprint and a broken heart  Whisker / Replay
4  86   Boys                               Whisker 
5  75   Genesis                            Magic Dreams
6  70   Butter bestellen                   TUM
7  68   Destination : nowhere              Interror
8  65   Plainwork                          Unik
9  46   FALCO - the Space Rider            Cryogen



PC 4K Intro

1  325  Toasty                        Freestyle
2  177  Meuk                          Ritz/Revolution
3  146  SuperQuadric                  KILLER/NEXTEMPIRE
4  77   GLamour                       Nap / Dilemma
5  76   4 Kilo Bugs                   tAz
6  71   Style                         Fuzzion
7  58   Ravende Gentomaten @ 180 BPM  T$
8  29   PretzelDash - The Chase       BionFX



MP3 Music

01  123  Brother In The Sky                      Chromag / Haujobb
02  94   Sommerparty                             Virgill
03  80   Record Royale (short version)           wayfinder
04  68   Dawn                                    Sonic / Destiny
05  64   Diffusion                               Towerx / Astral
06  64   The Mekka Jam (Reality 2K)              Dj Atomix & MasterK vs. Purple Motion
07  55   We´re Taking Over                    Jelly & Fish vs Haujobb
08  53   Reality                                 DeToX - Crimson Jihad
09  51   I Love You                              Marc
10  46   Ride it, cowboy!                        Nagz / Greenroom
11  43   Thousand Island                         The Bloch Brothers / TPDB
12  29   Swang Thing                             Gerard Hulrink
13  19   Your Eyes                               Stony^LostG & BenJam^TUM
14  13   3g-intro                                Dir. SüDE / Polka Brüders
15  12   Travelling                              Isaac / Contraz
16  12   Haus (Of House)                         Devilock
17  9    planet convention                       alan freyman / udprod
18  9    floater (all new jp8000 remake)         maxx
19  8    NRG in Harmony                          Phuture Kemist / Astral
20  7    Robospack Part 2                        JCO
21  6    LIFTOFF                                 nightmare^nuance
22  6    Ubermensch                              Poko666^CJ
23  6    Carrey goes to Symposium                Dr.Zero / aJa
24  6    underground liebeslied                  henning && jarod
25  5    For Christine                           Skyrunner
26  5    bomb my ass                             zippy (black maiden)
27  4    rythmuspraktikant                       r.pries [farbrausch/_rohformat]
28  3    Rainbow Of Your Mind                    Mr.Pixel
29  3    Quarantino - soundtrack                 Skip of Potion
30  3    bring communication in2 da dancehall    loolarge
31  2    crow style                              trip2o / app
32  2    Space Activity                          JCS / Haujobb
33  2    Paleo                                   Raiden of Aural Planet
34  1    Chemical Synthesis                      Entropy 
35  1    Ready                                   Shellshocker / Xymox Project
36  0    The Sunshower                           Kure/RNO
37  0    Pounding Grooves at ms 2000             Sergio
38  0    Supraleitende Fasern rmx                !RGA
39  0    Skate Or Die - Jungle Remix             Mac Motu
40  0    Escape                                  Luk & Rem / Procreation
41  0    Send Me 2 Mekka                         Metamorphosius
42  0    Infinity                                Bleze / Unction
43  0    Bad Issues                              Realsmokers / Level-D / Languagelab
44  0    303 Ants                                Scortia
45  0    agnieszko, kochanie                     klinton/monar & blacklight/dragon soft
46  0    clubb mix star                          spectra & azzaro/madwizards
47  0    northern lights                         revisq & def/flopi.
48  0    uschi mausert sich                      raketenbrot
49  0    Pulse                                   Gabryel
50  0    BSE Burger                              d.a.s sh0 8)_
51  0    Reflections Inside                      Nomix
52  0    Strange World                           Mel O´Dee
53  0    Trip To India                           M. Den Riet
54  0    unser bestes stück                   dance for love / haujobb
55  0    Maxwell's Delight                       Dice of Polka Brothers
56  0    Freiheit                                Legalize/Kami/Datenanarchist/Büschi/Ligi
57  0    Svarecka                                Vymena
58  0    E4W                                     Ramboy
59  0    Future Repeating                        No-XS / Paradox
60  0    Cessation                               Pink of Abyss
61  0    Compliant Confuse                       Quadrophonic/DJFX
62  0    Strange Worlds                          jazz/haujobb          [www.konsumer.de]
63  0    Carrey goes to Symposium                Dr.Zero / aJa
64  0    Orchestrated fear                       Snej
65  0    nu-dog3.bmx                             twelve
66  0    i won't survive                         Constant Wail
67  0    Stars & Nebula                          HybridX^Nebula^Visuale
68  0    Melodic Brainfuck                       NC Joe
69  0    Toxic Rain                              Beatmaster of F4'z
70  0    The soundtrack of a dying centory 2000  HaS
71  0    ES                                      Tristan of deranged
72  0    Gnurst                                  TGI / Birdhouse 
73  0    Symp_Anthem 2k                          emasse / BF audio-visuals
74  0    Der Ohrwurm                             Brainfuck
75  0    Jungle Panic                            The Nölk
76  0    I Will Go                               Friendly Citizens



Fast Intro

1  211  Jobbsuche         Pap & Skyrunner
2  146  Da Krisch Plack   Thorax
3  89   Haujobb=Jaujop    Fuzzion
4  84   Rache der Pansen  Code Red
5  67   ms2kfi            schoko/kekse & doppel/kekse
6  55   Basic Rules       Uncle Fritz / ORI
7  34   Rappelkiste 2000  No-XS & Dr. Schnuggels
8  34   23 for 64         Brainstorm/CCL & SKE
9  18   Jello             Jack C. / Faque



C64 Graphis

01  114  Oppa Roxx                                Rayden/Breeze/Cyberpunx
02  107  Rider                                    JailBird/Tempest/Padua
03  102  cyclone de l'interieur                   Cyclone
04  99   Technocrazy 100%                         Deekay/Crest
05  67   Eyesore                                  Sebaloz / Lepsi De
06  67   Li                                       Deev/Onslaught
07  51   Regine                                   Sander
08  32   Mai-Chan [64%]                           Seba / Plush
09  31   Armageddon                               Mermaid/Creators/Crest
10  24   ... bevor es zu spät ist!                Bugjam/Role
11  24   Janina                                   Aomeba/Padua
12  22   Birthday Present                         Exin / SDI
13  19   Komm, spiel mit mir!                     Cupid/Hitmen/Padua
14  19   Helping Hand                             Poison/Singular
15  18   007                                      Datura
16  17   Else                                     Cori of DAL
17  17   Rudi Rüssel macht sich's mit dem Rüssel  Dejuhra/Anubis
18  16   Verrückter Kürbis im Rübenfeld           Demon/Unction
19  16   Blue Dream                               Eyesee/ABS
20  8    Bierheinz Powah!                         Bitbreaker/Metalvotze
21  8    Witchblade/Disarming                     Mr.Quark/Out of Order
22  7    gfxdebut-Zapotek                         Zapotek
23  2    Selfportrait                             Ultimo/Export Krum
24  2    Compopic                                 Ishak/Hydrogen
25  2    CO's gym                                 Mr.Chaos / Spiders-Crew / Tide



C64 Demo

01  362  Deus Ex Machina        Crest
02  284  +H2K                   Plush
03  189  T4                     SDS
04  84   Bastard                Breeze
05  57   Movie World            by Dragon Software Production
06  49   Feeling Retro          Resource
07  46   Vanity                 Faque
08  42   Something              Anubis
09  33   Melonator              Dekadence
10  20   Weekend World/Outcast  Iceman/Outcast
11  19   our Greatness          Rum Posse
12  12   Life is CENTRIC        The CREW feat. Ganja
13  11   Ruecktro               DCP



C64 4K Intro

01  165  +H4K                                     Krill, Caprice, Fanta
02  128  Matrix The Movie - Intro Cover           Allitaice/SCS-TRC & Top Secret/WOW/Cult
03  63   My Vision                                TUM
04  52   ???                                      AEG
05  43   Thatz Disaign                            Greenfrog
06  37   I'm driving with my bulli thr. Hemdbach  Cola Zul / Rum Posse
07  36   4K byter                                 Silver Fox
08  33   Mundfotze                                Karlsquell Serwiss
09  29   Epilepsie                                Svan
10  24   Arachnophobia Online                     Stirf/Spiders-Crew/Role
11  19   sk1pp3r                                  Zed Yago/K2
12  17   Maplas                                   No-XS and quazz
13  13   Njuhsculahplasma                         Metalvotze
14  8    Randomize 256 bytes                      Exin / SDI



Amiga Demo

01  456  Cybercinematastic           Loonies
02  174  Back to the roots           Haujobb
03  121  First Awakening             Creative Minds
04  70   N E O  2     by    DARKAGE  modem/darkage & exon/darkage
05  69   Welcome to Our World        Cupid and Mr Tickle
06  68   Violent Dumb (The Demo)     Krabob/Mankind
07  66   Urea                        po-RNO
08  61   murderous                   floppy
09  59   Outta Space                 Secretly!
10  53   Estadiol                    Potion
11  42   Terminator                  Pulsatio.def, Klinton,Revisq, Ka.Caustic
12  25   Support Feedback            Strife/Apathy
13  9    Sympslide 2000              Talpa



Amiga 64K Intro

01  537  Gift  [Gush2]        Potion
02  137  Strange Distortion   Craid-Hellfire-SolarC-Roz
03  117  Omnicrom             Loaderror / Ephidrena
04  96   AHA                  Strife/Apathy
05  90   Yes!                 Haujobb & Loveboat
06  72   Super Hero           Slummy / Spaceballs
07  64   Aimless              Whelp2
08  63   Fast                 NUANCE
09  63   My House by Darkage  dip/darkage  exon/darkage
10  62   Ego                  Focus Design
11  51   Radianze             Contraz
12  26   trs2 invitation      Jack C./Faque



Amiga 4K Intro

1  205  Bier          Loaderror/Ephidrena
2  94   Wave 2000 %   Azure & Platon
3  93   Art Of 4k     Shape/DCS+Kure/RNO
4  60   fee / floppy  def.floppy maq.floppy alien.mawi
5  46   bool shit     taski
6  43   polychrome    madwizards
7  40   Hest          M21453/Gunnars Farvebio
8  36   Useless       Bleifrei



Alternative Music

01  96  I´ve A Jazzy Feeling                      BZZ
02  75  Break Down Baby                           Chromag of Haujobb
03  72  Nine Millimeter                           Virgill
04  70  the chase                                 dulmur of haujobb
05  65  Shame of Moquiva                          Nagz / Greenroom
06  54  I see, I feel, I reveal.                  Bacter
07  54  Time together                             Netpoet feat. Sundae
08  52  druckwerk                                 maxx
09  46  Das Blanquette de Veau                    redribbon/mandarine
10  40  Autumn in Budapest                        carlos / mandula & jecoute 
11  36  pondering on the past                     Lesnik of Altair
12  31  Trallallala                               NemecheK
13  12  Potwale                                   Devilock
14  10  Fridge                                    ccsw/copro
15  9   Spacefly                                  Stefko / Sauerkraut Studios
16  3   Lathra                                    KRYTEN/NEXTEMPIRE
17  3   adios amigas                              23
18  3   Magic Wiz                                 Frequent / Ephidrena
19  3   i miss u                                  magnetic/witchcraft
20  3   Meet The Stands                           Yogi / Iris
21  3   Die Leute, die zur Love Parade gehen,...  datan^TAME
22  3   avare vagin pre                           spectra & azzaro
23  3   lila vinyl                                TagesdosiS vs mmm   of DELiGHT!
24  3   Synergy                                   Skyrunner
25  3   Kultural Remix                            The Blue Ninja / Protovision
26  3   Hydrocultures                             Dipswitch / DCS
27  3   Marakesh                                  BenJam^TUM
28  3   Sommerabend-Funk                          Heman + Beatfreak
29  3   Feelings (Amiga 4-CH)                     P\E/T\E of Black Monks
30  2   Shadow from the Past                      Towerx / Astral
31  2   nuaa sau                                  hakon/whelpz
32  2   For You                                   Havoc / Delight
33  2   Qweer                                     Snej
34  2   Woman In My Head                          Sting
35  2   classis                                   trip20 / app
36  2   Deep Waves                                Play-Tone
37  1   Tennessee                                 Marc / Haujobb
38  1   One23_702_319                             teo.kangooroo^exceed
39  1   Mighty men & Magic tales                  Pap / Access Denied
40  1   Light At Night                            Mr. Vain / Secrectly
41  0   Shadez 2000                               Dj Atomix vs. Chris H.
42  0   Grey Them Poksers                         Kure
43  0   Abuse!                                    Demon/Unction & Buffstar/Suplex
44  0   being in a good mood                      Erik Hellbing ( EHa )
45  0   Empty Planet                              LUK & REM of Procreation
46  0   Zza! U Cuteju...!                         Ciccilleju / Apocalipse Design
47  0   Tran-Z-Onic Remix                         S0bEC ^ He\\fiRE
48  0   Awakening 2k                              Tomaes/TAP
49  0   The Ding                                  Hesse-Fun
50  0   cYbeRjeSuS                                cybin/tek
51  0   Frequency Overdrive                       Dixan / SK^MFX
52  0   When Electronics Meet They Cause Vibr...  Dreyer / Spoon^Blasphemy
53  0   Sax on the Phone                          Deansdale of sExceed
54  0   The Fear                                  Curt Cool / Depth
55  0   Shafrika                                  Effron
56  0   warp corn ey                              otton/veezya & blacklight/dragon soft.
57  0   Sub 8b                                    Starfish / Nocturnalö
58  0   25                                        theo
59  0   The Professionals                         HybridX^Nebula^Visuale
60  0   salto motorola                            banana / the electronic knights
61  0   AFIB                                      Cosowi / Plush
62  0   Probed                                    Quoz
63  0   It Rulez!                                 P.O.W.L.
64  0   Weather                                   Tristan/Deranged
65  0   Not Alone                                 Boris Bahnhof / Gunnars Farvebio + Hans
66  0   Super Strange                             Melwyn / Haujobb
67  0   Impressions                               Peabrain / D:Struct / Faque
68  0   Atmoqube                                  Froyd / Deathstar
69  0   planet kitsch                             wayfinder
70  0   mercantile                                swaxi of fnuque
71  0   I see, I feel, I reveal.                  Bacter / Quasars
72  0   cotu                                      phred
73  0   Sunlaughter                               Zixaq / Ephidrena
74  0   Giana Is Back                             D.C. Clark / Secretly
75  0   Soundshapes                               Brain / Phantasy



Alternative Gfx

01  171  Sakraler Monumentalbau     Shadow / Digital Overflow
02  124  Hope Strange               Inferno / Haujobb
03  99   Synthetic Heaven           JCS/Haujobb
04  96   3 Zimmer Küche Bad      D.Fox / Digital Overflow
05  64   Magic Fields               Bleze of Unction
06  51   schistocerca gregaria      amoc
07  51   PiKACHU's BALLS of STEEL   cREEP!/oLDSkOoL
08  48   Die grüne Treppe        Noize/Kolor
09  41   Wow&Fly                    Arthus (Digital Vortex)
10  34   Who needs a Pentium??!!    Demon / Unction
11  30   starBASE                   SNEJER
12  28   Overdoze Demolove          Arn / Chronomatic Tushis
13  26   Strange Sadman             Visualice
14  25   NCE-Discovery              Spider
15  24   Rollcase - The Experience  Da Duke
16  23   Komnata in 3d              Dr. Deadmake of Sista Vip
17  23   tötet alle lamer        Floetus/Vacuum
18  21   Ed von Schleck             Pan/Toiletten Custsklaven Crew
19  19   evening                    lexip from extern
20  14   Back to Nature             Kasimir
21  14   Surprise in Space          Tomcat / Greenroom
22  11   das boot 2k                DOC
23  11   Constructing               Cream
24  11   Amiga Water                Cerion of Black Monks
25  10   "spoken"                   @gene
26  9    Y1K                        FirimaR of SynoduZ
27  9    hangar six                 zokk^falschpork
28  8    Hunter (Raytraced)         CSA
29  7    Jeep                       D.C.Clark of Secretly!
30  5    Smoky Or What?!            muz feat. concept2
31  5    Wierdness                  PRIMOGEN (Per Jorgensen)
32  4    Insanity                   Beton / Zone51
33  1    Tekhate                    ir / Greenroom



32K Game

01  418  t32                           Myth
02  229  Pong 32K                      Freestyle
03  130  Duzzle Dobble                 Mr. Van / Secretly
04  114  Zeek'em 32k                   zeek
05  94   Supercow                      tarzean/carrots
06  56   PretzelDash                   Imagician & Plex / BionFX
07  47   Chess 32K                     SpaceCommander / ByTeGeiZ
08  35   3d Noid                       Xar and FirimaR of Synoduz
09  33   MEKKApede                     DC.Clark of Secretly!
10  20   Bum! The C=64 32K Egoshooter  Demon/Unction
11  19   Arcade                        Dr.Deadmake of Sista Vip
12  17   FarbSpiel                     salt^kolabore
13  11   Catch the Cracker!            Catweazle 6510

